date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:35	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:29%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/oyuncu/YasinG67)
14:08:36	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:29%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/oyuncu/YasinG67)
14:08:36	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:29%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/etiket/hesap)
14:08:36	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:30%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/etiket/hesap)
14:08:37	13566/13566	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:30%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/etiket/hesap)
14:08:37	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:30%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/etiket/dolunaycraft)
14:08:37	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:31%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/etiket/dolunaycraft)
14:08:39	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:32%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/etiket/dolunaycraft)
14:08:39	30742/30742	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:32%20GMT	https://www.dolunaycraft.com/etiket/dolunaycraft/0	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/dolunaycraft/0.html	(from https://www.dolunaycraft.com/etiket/dolunaycraft)
14:08:40	30741/30741	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:33%20GMT	https://www.dolunaycraft.com/etiket/dolunaycraft/1	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/dolunaycraft/1.html	(from https://www.dolunaycraft.com/etiket/dolunaycraft)
14:08:42	30741/30741	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:35%20GMT	https://www.dolunaycraft.com/etiket/dolunaycraft/2	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/dolunaycraft/2.html	(from https://www.dolunaycraft.com/etiket/dolunaycraft)
14:08:42	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:35%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/etiket/guncelleme)
14:08:43	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:37%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/etiket/guncelleme)
14:08:44	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:37%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/etiket/guncelleme)
14:08:46	28689/28689	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:39%20GMT	https://www.dolunaycraft.com/etiket/guncelleme/0	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/guncelleme/0.html	(from https://www.dolunaycraft.com/etiket/guncelleme)
14:08:46	28688/28688	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:39%20GMT	https://www.dolunaycraft.com/etiket/guncelleme/1	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/guncelleme/1.html	(from https://www.dolunaycraft.com/etiket/guncelleme)
14:08:47	28686/28686	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:40%20GMT	https://www.dolunaycraft.com/etiket/guncelleme/2	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/guncelleme/2.html	(from https://www.dolunaycraft.com/etiket/guncelleme)
14:08:47	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:40%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/etiket/beta)
